n,avl_insert_ns,avl_search_ns,bentley_insert_ns,bentley_search_ns,speed_insert_ns,speed_search_ns
32700,20940600,2146300,237492800,7644400
32800,21317400,2138800,238378900,1897500
32900,21838000,2159200,255562400,2354300
33000,21670800,2118300,279928600,4370000
33100,21900000,2230700,263140600,3270800
33200,21183000,2188200,266404600,3918100
33300,22851400,2342200,265366200,3272500
33400,23071300,2201400,269537100,5669800
33500,23240900,2246200,257173000,4913400
33600,24092700,2186800,251032400,3548400
33700,22623400,2255600,262016300,4168500
33800,23390700,2405600,243988700,2634800
33900,22181400,2322200,282719100,4892800
34000,24675800,6941400,259044700,4032100
34100,32192300,2229300,290703800,7404400
34200,22119200,2324500,264235100,5135000
34300,22553800,2287600,273216400,7106800
34400,22670700,2605700,250171200,3757000
34500,34222100,2329000,254762600,4429800
34600,22870500,2398000,270288300,4769900
34700,24966700,2283300,263129600,5350300
34800,25272800,2316900,264229900,6678000
34900,23860600,2370600,285022400,4573400
35000,24423500,2730400,276519000,5190400
35100,24869400,2577800,286890100,4716100
35200,23574500,4329600,279054400,3899200
35300,22201700,2341500,247816700,5052400
35400,24642500,2348100,249634700,4407700
35500,25887500,2382100,260650300,5219700
35600,25244200,2487200,264467800,4245300
35700,23990900,2403300,244524700,5742500
35800,23613600,2398600,253028700,5873400
35900,24107000,2615400,259657200,6539800
36000,23416900,2976100,264437300,5063000
36100,26634400,2487700,254447400,4029300
36200,23402600,2463300,262399400,5530600
36300,26066100,2538400,264492300,6393100
36400,24964400,2477100,256031300,6055500
36500,24873300,2561700,263015400,5495200
36600,24404500,2970500,257931600,7259200
36700,25429200,2658000,264662400,7352500
36800,25693200,2618200,262856500,6451800
36900,24812400,2855000,264189300,3412200
37000,24464300,2937900,267729600,4840900
37100,24888100,2634600,262166100,5324800
37200,26203300,2650300,263774300,4574800
37300,25937100,2517800,264300100,5356000
37400,24797400,2584700,283086000,13062800
37500,28199000,2834700,300842700,6822300
37600,27513700,2593800,304291800,6314000
37700,35492900,5321900,279798900,5155700
37800,27003900,2782100,306827500,6065200
37900,30369800,2745200,300585300,9273000
38000,24088500,2889600,295799900,5312900
38100,32042400,2538300,299640800,6081600
38200,25042300,2468800,306004800,7723700
38300,32086500,2622400,298669100,7460500
38400,24643000,3463000,280147700,4804100
38500,25397300,2632200,302806600,5642200
38600,25084700,3298600,315768100,6603300
38700,26254600,3038200,290386700,7184900
38800,27035200,2997000,314088000,14978200
38900,25713600,3400600,323628100,11657200
39000,25950000,2901600,313206800,5481000
39100,40058600,2894800,299079100,7259600
39200,27650500,2656100,306071500,5223500
39300,25587500,2810400,321853900,5463600
39400,25953400,2591400,299610400,7856700
39500,26093700,2672800,297344500,6195600
39600,26030400,2745500,316721300,6347500
39700,40223200,3386900,306925700,6755000
39800,27105500,2734700,289372500,7836300
39900,27320800,3727600,287367200,8025300
40000,28079200,3991000,317585300,5040500
40100,33292100,3157400,328959800,6491700
40200,26452500,2968000,288243000,5482000
40300,26401000,4410900,309391800,7559600
40400,35213200,2828600,306881200,10585500
40500,27497600,2842500,325432700,6469600
40600,26806700,2779500,313854000,7587100
40700,27790500,2912900,331807400,9136100
40800,26715900,2719600,303970000,6978800
40900,27490600,2871100,285146100,8219300
41000,27786000,2838900,362360100,5484000
41100,37837700,4306300,315168600,5144600
41200,27102200,3040800,308520100,6389200
41300,28519500,8194200,331588400,6746200
41400,38026800,2877900,330212800,6557900
41500,27459600,3134800,305621100,5410800
41600,33373000,2829300,341756400,4726400
41700,37536100,3218400,312376900,9479000
41800,32120000,2978700,306366100,5799900
41900,28360000,2841800,318776700,7526800
42000,30484200,2920500,301187600,5568200
42100,30019600,3107200,302485000,6701300
42200,29026200,5414800,301824700,9096800
42300,27727700,2988800,302782400,8785800
42400,28629300,3025000,295817400,6494400
42500,28953700,3056400,299363400,5667400
42600,28892400,2883900,296203300,7009900
42700,29978900,3068800,303839400,7883100
42800,30437000,3089000,308184800,7007400
42900,39162800,3486300,304559700,8193700
43000,29141600,3224100,306653500,9757400
43100,30419300,3355800,309121500,7657000
43200,31114300,2941200,316450300,5807300
43300,30176900,2995500,307860400,6343100
43400,30478700,3081100,305905900,7369900
43500,29870100,3027700,307669300,8853400
43600,30502300,3184400,306205300,6377300
43700,28928600,3085400,316022900,7696700
43800,29545800,3225700,304922700,7535700
43900,29825900,3177400,317662300,12401100
44000,30838500,3579300,309147700,8559100
44100,31144700,3118900,310292400,6067200
44200,30798800,3193800,319217700,6767000
44300,32803500,3325400,319189700,7318700
44400,30596800,3158000,312154100,8691200
44500,30841600,3486100,309314500,8578400
44600,29963300,3238700,316360700,9639700
44700,30431300,3425200,309733600,8662400
44800,31322700,3078600,310872800,7110300
44900,31043700,3273800,311128000,9261300
45000,31666400,3189900,326521100,9422600
45100,31943800,6540200,323615600,6001600
45200,31900300,3239300,324595800,6070500
45300,30740200,3258000,321596200,8074200
45400,31948400,3266000,323196700,7312100
45500,34683500,3581500,315018400,8682600
